UMTS band;Alias;F dl_low (MHz);F dl_high (MHz);N dl low;N dl high;dl offset;F ul_low (MHz);F ul_high (MHz);N ul low;N ul high;ul offset;Arfcn range;Bandwidth (MHz);Duplex spacing (MHz)
1;2100;2110;2170;10562;10838;0;1920;1980;9612;9888;0;276;60;190
2;1900 PCS;1930;1990;9662;9938;0;1850;1910;9262;9538;0;276;60;80
3;1800 DCS;1805;1880;1162;1513;1575;1710;1785;937;1288;1525;351;75;95
4;AWS-1;2110;2155;1537;1738;1805;1710;1755;1312;1513;1450;201;45;400
5;850;869;894;4357;4458;0;824;849;4132;4233;0;101;25;45
6;850 Japan;875;885;4387;4413;0;830;840;4162;4188;0;26;10;45
7;2600;2620;2690;2237;2563;2175;2500;2570;2012;2338;2100;326;70;120
8;900 GSM;925;960;2937;3088;340;880;915;2712;2863;340;151;35;45
9;1800 Japan;1845;1879.8;9237;9387;0;1750;1784.8;8762;8912;0;150;34.8;95
10;AWS-1+;2110;2170;3112;3388;1490;1710;1770;2887;3163;1135;276;60;400
11;1500 Lower;1476;1495.8;3712;3787;736;1428;1447.8;3487;3562;733;75;19.8;48
12;700 a;729;746;3842;3903;-37;699;716;3617;3678;-22;61;17;30
13;700 c;746;756;4017;4043;-55;777;787;3792;3818;21;26;10;-31
14;700 PS;758;768;4117;4143;-63;788;798;3892;3918;12;26;10;-30
19;800 Japan;875;890;712;763;735;830;845;312;363;770;51;15;45
20;800 DD;791;821;4512;4638;-109;832;862;4287;4413;-23;126;30;-41
21;1500 Upper;1496;1510.8;862;912;1326;1448;1462.8;462;512;1358;50;14.8;48
22;3500;3510;3590;4662;5038;2580;3410;3490;4437;4813;2525;376;80;100
25;1900+;1930;1995;5112;5413;910;1850;1915;4887;5188;875;301;65;80
26;850+;859;894;5762;5913;-291;814;849;5537;5688;-291;151;35;45
32;1500 L-band;1452;1496;6617;6813;131;;;;;196;44;
33;TD 1900;1900;1920;9500;9600;0;;;;;100;20;
34;TD 2000;2010;2025;10050;10125;0;;;;;75;15;
35;TD PCS Lower;1850;1910;9250;9550;0;;;;;300;60;
36;TD PCS Upper;1930;1990;9650;9950;0;;;;;300;60;
37;TD PCS Center gap;1910;1930;9550;9650;0;;;;;100;20;
38;TD 2600;2570;2620;12850;13100;0;;;;;250;50;
39;TD 1900+;1880;1920;9400;9600;0;;;;;200;40;
40;TD 2300;2300;2400;11500;12000;0;;;;;500;100;
